Date,Open,High,Low,Close,Adj Close,Volume
19/12/2017,179.949997,180.080002,178.220001,179.509995,179.509995,14920600
20/12/2017,179.809998,179.809998,177.360001,177.889999,177.889999,11860500
21/12/2017,177.940002,178.679993,177.050003,177.449997,177.449997,11600700
22/12/2017,177.139999,177.529999,176.229996,177.199997,177.199997,8509500
26/12/2017,176.630005,177,174.669998,175.990005,175.990005,8897300
27/12/2017,176.550003,178.440002,176.259995,177.619995,177.619995,9496100
28/12/2017,177.949997,178.940002,177.679993,177.919998,177.919998,12220800
29/12/2017,178,178.850006,176.460007,176.460007,176.460007,10261500
02/01/2018,177.679993,181.580002,177.550003,181.419998,181.419998,18151900
03/01/2018,181.880005,184.779999,181.330002,184.669998,184.669998,16886600
04/01/2018,184.899994,186.210007,184.100006,184.330002,184.330002,13880900
05/01/2018,185.589996,186.899994,184.929993,186.850006,186.850006,13574500
08/01/2018,187.199997,188.899994,186.330002,188.279999,188.279999,17994700
09/01/2018,188.699997,188.800003,187.100006,187.869995,187.869995,12393100
10/01/2018,186.940002,187.889999,185.630005,187.839996,187.839996,10529900
11/01/2018,188.399994,188.399994,187.380005,187.770004,187.770004,9588600
12/01/2018,178.059998,181.479996,177.399994,179.369995,179.369995,77551300
16/01/2018,181.5,181.75,178.039993,178.389999,178.389999,36183800
17/01/2018,179.259995,179.320007,175.800003,177.600006,177.600006,27992400
18/01/2018,178.130005,180.979996,177.080002,179.800003,179.800003,23304900
19/01/2018,180.850006,182.369995,180.169998,181.289993,181.289993,26826500
22/01/2018,180.800003,185.389999,180.410004,185.369995,185.369995,21059500
23/01/2018,186.050003,189.550003,185.550003,189.350006,189.350006,25678800
24/01/2018,189.889999,190.660004,186.520004,186.550003,186.550003,24334500
25/01/2018,187.949997,188.619995,186.600006,187.479996,187.479996,17377700
26/01/2018,187.75,190,186.809998,190,190,17759200
29/01/2018,188.75,188.839996,185.630005,185.979996,185.979996,20453200
30/01/2018,187.619995,188.179993,181.839996,187.119995,187.119995,20858600
31/01/2018,188.369995,189.830002,185.220001,186.889999,186.889999,43275100
01/02/2018,188.220001,195.320007,187.889999,193.089996,193.089996,54211300
02/02/2018,192.039993,194.210007,189.979996,190.279999,190.279999,26677500
05/02/2018,186.929993,190.610001,180.610001,181.259995,181.259995,33128200
06/02/2018,178.570007,185.770004,177.740005,185.309998,185.309998,37758500
07/02/2018,184.149994,185.080002,179.949997,180.179993,180.179993,27601900
08/02/2018,181.009995,181.839996,171.479996,171.580002,171.580002,38478300
09/02/2018,174.759995,176.899994,167.179993,176.110001,176.110001,39887600
12/02/2018,177.059998,177.550003,171.839996,176.410004,176.410004,32092100
13/02/2018,175.619995,175.970001,173.100006,173.149994,173.149994,21809400
14/02/2018,173.449997,179.809998,173.210007,179.520004,179.520004,28929700
15/02/2018,180.5,180.5,176.839996,179.960007,179.960007,20922100
16/02/2018,178.990005,179.880005,176.300003,177.360001,177.360001,20645300
20/02/2018,175.770004,177.949997,175.110001,176.009995,176.009995,21204900
21/02/2018,176.710007,181.270004,176.399994,177.910004,177.910004,23200800
22/02/2018,178.699997,180.210007,177.410004,178.990005,178.990005,18464200
23/02/2018,179.899994,183.389999,179.509995,183.289993,183.289993,19007300
26/02/2018,184.580002,185.660004,183.220001,184.929993,184.929993,17599700
27/02/2018,184.449997,184.699997,181.460007,181.460007,181.460007,15849800
28/02/2018,182.300003,182.880005,178.139999,178.320007,178.320007,18783000
01/03/2018,179.009995,180.119995,174.410004,175.940002,175.940002,23201600
02/03/2018,173.289993,177.110001,172.990005,176.619995,176.619995,20025900
05/03/2018,176.199997,181.149994,175.889999,180.399994,180.399994,16189300
06/03/2018,181.779999,182.380005,179.110001,179.779999,179.779999,15086800
07/03/2018,178.740005,183.820007,178.070007,183.710007,183.710007,19097300
08/03/2018,183.559998,184.399994,181.449997,182.339996,182.339996,17225900
09/03/2018,183.910004,185.509995,183.210007,185.229996,185.229996,18526300
